CLOSURE,CONTAM_ADV,Station_Name,Latitude_DD,Longitude_DD,Beach_Name,Municipality,County_Name,Tot_actions
,1.0,OC1068,39.6448907967,-74.1762155318,14th St Ocean Front,Ship Bottom Borough,Ocean,
1.0,2.0,OC1072,39.6151911343,-74.1978774892,Stockton Ave,Long Beach Township,Ocean,3.0
1.0,,OC1076,39.584542189,-74.2196010186,New Jersey Ave,Long Beach Township,Ocean,
1.0,1.0,OC1078,39.5668542824,-74.2312423563,Taylor Ocean Front,Beach Haven Borough,Ocean,2.0
,5.0,OC1080,39.5483920571,-74.2486485517,Leeward St,Beach Haven Borough,Ocean,
,1.0,OC1082,39.5353218423,-74.2587438882,Joan,Long Beach Township,Ocean,
1.0,,OC1084S,39.7480011095,-74.1052437531,17th St,Barnegat Light Borough,Ocean,
1.0,,OC1086S,39.7359132523,-74.1161433743,Dolphin,Long Beach Township,Ocean,
1.0,,OC1087S,39.7326536153,-74.118252544,Seaview,Long Beach Township,Ocean,
1.0,,OC1088S,39.7291160324,-74.1202763038,Coast Ave,Long Beach Township,Ocean,
1.0,,OC1089,39.9883894162,-74.0613185468,East Tuna Way,Toms River Township,Ocean,
1.0,,OC1092S,39.7066273691,-74.131750702,80th St,Harvey Cedars Borough,Ocean,
,2.0,OC1095,39.9382037599,-74.0704307967,Lincoln Ave,Seaside Heights Borough,Ocean,
,1.0,OC1099,39.6600287994,-74.1635582068,North 10th St,Surf City Borough,Ocean,
1.0,1.0,OC1100,39.6515320211,-74.1706224745,South 3rd St,Ship Bottom Borough,Ocean,2.0
1.0,,OC1102,39.5705123035,-74.2290593411,14th St. in Beach Haven,Long Beach Township,Ocean,
1.0,,OC1107S,39.6468758993,-74.1745912617,11th St,Ship Bottom Borough,Ocean,
1.0,,OC1112S,39.6184428345,-74.1955610966,Paulding,Long Beach Township,Ocean,
1.0,,OC1113S,39.6143522378,-74.1983233712,Dayton,Long Beach Township,Ocean,
1.0,,OC1114S,39.6100187176,-74.2011517501,Jeanette Ave,Long Beach Township,Ocean,
1.0,,OC1115S,39.6038369953,-74.2052129736,Oceanview Dr,Long Beach Township,Ocean,
1.0,,OC1118S,39.5864219309,-74.2184363596,Dune,Long Beach Township,Ocean,
1.0,,OC1119S,39.5820414397,-74.2213150133,33rd St,Long Beach Township,Ocean,
1.0,,OC1120S,39.57727331,-74.2244400574,25th St,Long Beach Township,Ocean,
1.0,,OC1122S,39.5643778229,-74.2330183231,5th St,Beach Haven Borough,Ocean,
1.0,,OC1125S,39.5508551484,-74.2453264768,Pelham,Beach Haven Borough,Ocean,
1.0,,OC1127S,39.5463525211,-74.2504431474,Osborn Ave,Long Beach Township,Ocean,
,1.0,OC1130,39.9562775543,-74.06745785,4th Ave,Toms River Township,Ocean,
1.0,,OC1131S,39.5370508703,-74.2579030546,Elizabeth Ct,Long Beach Township,Ocean,
1.0,,OC1132S,39.5330149004,-74.259610354,Harding Ave,Long Beach Township,Ocean,
,1.0,OC1135,40.0765925776,-74.0402649233,Maryland,Point Pleasant Beach Borough,Ocean,
1.0,,OC1137S,39.6974188635,-74.1370022281,Middlesex Ave,Harvey Cedars Borough,Ocean,
1.0,,OC1225S,39.7046473563,-74.1326078327,77th St,Harvey Cedars Borough,Ocean,
1.0,,OC1250S,39.644458588,-74.176441472,South 14th St III,Ship Bottom Borough,Ocean,
1.0,,OC1298S,39.7543088942,-74.0997598392,9th St,Barnegat Light Borough,Ocean,
1.0,,OC1306S,39.7448668191,-74.1094144172,22nd St,Barnegat Light Borough,Ocean,
1.0,,OC1307S,39.7455596113,-74.1087114188,21st St,Barnegat Light Borough,Ocean,
1.0,,OC1308S,39.7430794034,-74.1110122083,25th St Ocean Front,Barnegat Light Borough,Ocean,
1.0,,OC1310S,39.7416839268,-74.1122048809,27th St,Barnegat Light Borough,Ocean,
1.0,,OC1314S,39.5490812972,-74.2473315973,North Leeward St III,Beach Haven Borough,Ocean,
1.0,,OC1402S,39.5841016916,-74.2198252613,South New Jersey Ave II,Long Beach Township,Ocean,
1.0,,OC1447,39.7107682619,-74.1298565991,86th St,Harvey Cedars Borough,Ocean,
1.0,,OC1448,39.7086948364,-74.1307630967,83rd St,Harvey Cedars Borough,Ocean,
1.0,,OC1449,39.7019436829,-74.1341286569,73rd St,Harvey Cedars Borough,Ocean,
1.0,,OC1451,39.6922843829,-74.1404181224,Hudson Ave,Harvey Cedars Borough,Ocean,
1.0,,OC1452,39.6894844904,-74.1420442609,Cape May Ave,Harvey Cedars Borough,Ocean,
1.0,,OC1501,39.5907916581,-74.2152261728,Colorado,Long Beach Township,Ocean,
1.0,,OC1503,39.5448210957,-74.2519737989,Susan,Long Beach Township,Ocean,
1.0,,OC1504,39.5421160171,-74.2541420619,Rosemma,Long Beach Township,Ocean,
1.0,,OC1505,39.5388943218,-74.2565349694,Scott,Long Beach Township,Ocean,
1.0,,OC1506,39.5356717435,-74.258646492,Jacqueline,Long Beach Township,Ocean,
1.0,,OC1507,39.5322929088,-74.260169347,Washington,Long Beach Township,Ocean,
